YEAR,MO,DY,HR,QV2M,RH2M,PRECTOTCORR
2017,4,1,2,5.68,89.19,0
2017,4,1,3,5.62,89.31,0
2017,4,1,4,5.55,89.25,0
2017,4,1,5,5.49,88.25,0
2017,4,1,6,5.43,88.81,0
2017,4,1,7,5.43,81.31,0
2017,4,1,8,5.55,72.38,0
2017,4,1,9,5.74,64.19,0
2017,4,1,10,5.98,57.19,0
2017,4,1,11,6.16,52.06,0
2017,4,1,12,6.35,50.12,0
2017,4,1,13,6.47,48.69,0
2017,4,1,14,6.41,47.69,0
2017,4,1,15,6.29,47.62,0
2017,4,1,16,6.23,49.19,0
2017,4,1,17,6.29,55.62,0
2017,4,1,18,6.35,67,0
2017,4,1,19,5.92,70.88,0
2017,4,1,20,5.68,74.94,0
2017,4,1,21,5.62,79.56,0
2017,4,1,22,5.55,83.25,0
2017,4,1,23,5.55,86.31,0
2017,4,2,0,5.49,88.75,0
2017,4,2,1,5.49,91.38,0
2017,4,2,2,5.49,94.12,0
2017,4,2,3,5.49,95.25,0
2017,4,2,4,5.49,94.38,0
2017,4,2,5,5.49,93.44,0
2017,4,2,6,5.68,90.69,0
2017,4,2,7,5.74,79.88,0
2017,4,2,8,5.86,68.5,0
2017,4,2,9,5.62,53,0
2017,4,2,10,5.62,44.94,0
2017,4,2,11,5.55,40.12,0
2017,4,2,12,5.55,37.12,0
2017,4,2,13,5.92,38.31,0
2017,4,2,14,6.16,39.81,0
2017,4,2,15,6.35,41.94,0
2017,4,2,16,6.53,45.69,0
2017,4,2,17,7.51,59.25,0
2017,4,2,18,7.75,74.81,0
2017,4,2,19,7.32,77.44,0
2017,4,2,20,7.08,77.94,0
2017,4,2,21,6.84,76.5,0
2017,4,2,22,6.65,75.19,0
2017,4,2,23,6.65,75.31,0
2017,4,3,0,6.65,76.56,0
2017,4,3,1,6.71,78.44,0
2017,4,3,2,6.77,80.44,0
2017,4,3,3,6.77,82.06,0
2017,4,3,4,6.84,83.25,0
2017,4,3,5,6.9,84.44,0
2017,4,3,6,7.08,85.25,0
2017,4,3,7,7.39,78.06,0
2017,4,3,8,7.32,68.75,0
2017,4,3,9,7.51,62.94,0
2017,4,3,10,7.51,57,0
2017,4,3,11,7.45,53,0
2017,4,3,12,7.26,49.44,0
2017,4,3,13,7.08,47.25,0
2017,4,3,14,6.9,46.5,0
2017,4,3,15,6.84,47.25,0
2017,4,3,16,6.9,50.56,0
2017,4,3,17,7.57,62.19,0
2017,4,3,18,7.93,76.69,0
2017,4,3,19,7.39,72.25,0
2017,4,3,20,7.02,68.94,0
2017,4,3,21,7.26,73.94,0
2017,4,3,22,7.39,79.06,0
2017,4,3,23,7.45,81.31,0
2017,4,4,0,7.45,81.88,0
2017,4,4,1,7.45,82.19,0
2017,4,4,2,7.39,82.31,0
2017,4,4,3,7.45,82.69,0
2017,4,4,4,7.51,83.38,0
2017,4,4,5,7.69,84.19,0
2017,4,4,6,8,83.75,0
2017,4,4,7,8.36,83.31,0
2017,4,4,8,8.54,80.88,0
2017,4,4,9,8.61,78.75,0
2017,4,4,10,8.67,75.81,0
2017,4,4,11,8.61,72.5,0
2017,4,4,12,8.54,69.44,0
2017,4,4,13,8.48,67.06,0
2017,4,4,14,8.42,65.12,0
2017,4,4,15,8.36,64.31,0
2017,4,4,16,8.73,68.38,0
2017,4,4,17,9.46,80.44,0
2017,4,4,18,9.16,84.44,0
2017,4,4,19,9.09,86.5,0
2017,4,4,20,9.03,87.12,0
2017,4,4,21,8.97,86.06,0
2017,4,4,22,8.91,84.81,0
2017,4,4,23,8.85,82.69,0
2017,4,5,0,8.91,84.56,0
2017,4,5,1,8.73,86.56,0
2017,4,5,2,8.61,88.69,0
2017,4,5,3,8.48,88.69,0
2017,4,5,4,8.36,88.38,0
2017,4,5,5,8.24,89.62,0
2017,4,5,6,8.3,92.12,0
2017,4,5,7,8.36,85.75,0
2017,4,5,8,8.24,79.69,0
2017,4,5,9,8.06,69.75,0
2017,4,5,10,8,60.19,0
2017,4,5,11,7.69,51.88,0
2017,4,5,12,7.32,45.69,0
2017,4,5,13,7.14,43.69,0
2017,4,5,14,7.2,45.19,0
2017,4,5,15,7.32,47.81,0
2017,4,5,16,7.51,52.44,0
2017,4,5,17,8.42,65.56,0
2017,4,5,18,8.85,79.5,0
2017,4,5,19,8.67,82.88,0
2017,4,5,20,8.61,85,0
2017,4,5,21,8.61,87.5,0
2017,4,5,22,8.61,90.19,0
2017,4,5,23,8.67,92.12,0
2017,4,6,0,8.67,91.94,0
2017,4,6,1,8.48,91.38,0
2017,4,6,2,8.24,92.25,0
2017,4,6,3,8,90.81,0
2017,4,6,4,7.69,88.88,0
2017,4,6,5,7.57,87.88,0
2017,4,6,6,7.69,85.94,0
2017,4,6,7,7.51,76.19,0
2017,4,6,8,7.2,63.12,0
2017,4,6,9,7.08,55.31,0
2017,4,6,10,7.08,52.56,0
2017,4,6,11,7.14,51.5,0
2017,4,6,12,7.2,50.56,0
2017,4,6,13,7.26,50.88,0
2017,4,6,14,7.26,52.25,0
2017,4,6,15,7.32,54.81,0
2017,4,6,16,7.39,58.81,0
2017,4,6,17,7.63,65.94,0
2017,4,6,18,8.12,80.44,0
2017,4,6,19,8.12,87.25,0
2017,4,6,20,8.06,89.75,0
2017,4,6,21,8.06,92.25,0
2017,4,6,22,8.06,93.81,0
2017,4,6,23,8.06,93.81,0
2017,4,7,0,8.06,93,0
2017,4,7,1,8,92.25,0
2017,4,7,2,8,92.25,0
2017,4,7,3,7.93,90.56,0.01
2017,4,7,4,7.81,87.81,0.01
2017,4,7,5,7.69,86.12,0.01
2017,4,7,6,7.75,84.44,0.01
2017,4,7,7,7.93,77,0.03
2017,4,7,8,6.84,59,0.08
2017,4,7,9,6.77,54.62,0.11
2017,4,7,10,7.08,54.94,0.11
2017,4,7,11,7.26,54.75,0.13
2017,4,7,12,7.32,54.06,0.14
2017,4,7,13,7.32,53.69,0.15
2017,4,7,14,7.32,54.56,0.19
2017,4,7,15,7.45,58.06,0.2
2017,4,7,16,7.75,63.31,0.2
2017,4,7,17,8.42,73.62,0.21
2017,4,7,18,8.79,83.94,0.26
2017,4,7,19,8.67,88.75,0.3
2017,4,7,20,8.48,91.38,0.5
2017,4,7,21,8.42,92.75,0.39
2017,4,7,22,8.18,93.5,0.39
2017,4,7,23,7.45,91.44,0.5
2017,4,8,0,6.9,90.06,0.61
2017,4,8,1,6.59,89.38,0.69
2017,4,8,2,6.41,89.31,0.65
2017,4,8,3,6.35,89.88,0.28
2017,4,8,4,6.16,91.94,0.03
2017,4,8,5,5.92,92.31,0
2017,4,8,6,5.92,87.44,0
2017,4,8,7,5.8,78.31,0
2017,4,8,8,5.49,66.25,0
2017,4,8,9,5.25,57.06,0
2017,4,8,10,5,50.44,0
2017,4,8,11,4.88,46.56,0
2017,4,8,12,4.94,45.06,0
2017,4,8,13,5,45.38,0
2017,4,8,14,5.13,46.88,0
2017,4,8,15,5.19,48.88,0
2017,4,8,16,5.19,51.06,0
2017,4,8,17,5.25,54.44,0
2017,4,8,18,5.74,66.62,0
2017,4,8,19,5.86,73.81,0
2017,4,8,20,5.8,75.62,0
2017,4,8,21,5.68,75.62,0
2017,4,8,22,5.55,74,0
2017,4,8,23,5.43,72.62,0
2017,4,9,0,5.37,72.44,0
2017,4,9,1,5.31,72.44,0
2017,4,9,2,5.25,73.31,0
2017,4,9,3,5.25,74.94,0
2017,4,9,4,5.25,77.12,0
2017,4,9,5,5.25,80.56,0
2017,4,9,6,5.62,82,0
2017,4,9,7,5.43,68.69,0
2017,4,9,8,5.37,60.5,0
2017,4,9,9,5.43,56.06,0
2017,4,9,10,5.37,51.94,0
2017,4,9,11,5.31,48.81,0
2017,4,9,12,5.31,46.06,0
2017,4,9,13,5.19,43.75,0
2017,4,9,14,5.13,42.38,0
2017,4,9,15,5.07,41.81,0
2017,4,9,16,4.94,42.38,0
2017,4,9,17,5.25,47.56,0
2017,4,9,18,5.98,64.62,0
2017,4,9,19,5.86,70,0
2017,4,9,20,5.68,71.5,0
2017,4,9,21,5.43,73.31,0
2017,4,9,22,5.31,75.75,0
2017,4,9,23,5.19,76.88,0
2017,4,10,0,5.13,76.81,0
2017,4,10,1,5,77.06,0
2017,4,10,2,4.88,77.5,0
2017,4,10,3,4.82,78.62,0
2017,4,10,4,4.82,79.12,0
2017,4,10,5,4.76,80,0
2017,4,10,6,5,75.56,0
2017,4,10,7,4.94,65.25,0
2017,4,10,8,4.82,53.62,0
2017,4,10,9,4.58,45.75,0
2017,4,10,10,4.7,42.88,0
2017,4,10,11,4.88,41.44,0
2017,4,10,12,5,40.38,0
2017,4,10,13,5.07,39.69,0
2017,4,10,14,5.13,39.69,0
2017,4,10,15,5.19,40.38,0
2017,4,10,16,5.19,41.81,0
2017,4,10,17,5.49,47.81,0
2017,4,10,18,6.1,63.25,0
2017,4,10,19,5.86,68.44,0
2017,4,10,20,5.55,69.06,0
2017,4,10,21,5.37,72.69,0
2017,4,10,22,5.31,76.12,0
2017,4,10,23,5.25,78.94,0
2017,4,11,0,5.19,81,0
2017,4,11,1,5.13,82.38,0
2017,4,11,2,5.07,83.5,0
2017,4,11,3,5,84.56,0
2017,4,11,4,4.88,85.94,0
2017,4,11,5,4.82,86.25,0
2017,4,11,6,5,80.31,0
2017,4,11,7,5,69.75,0
2017,4,11,8,5.13,58.81,0
2017,4,11,9,4.88,44.62,0
2017,4,11,10,4.82,38.88,0
2017,4,11,11,5.19,38.88,0
2017,4,11,12,5.37,37.94,0
2017,4,11,13,5.37,36.25,0
2017,4,11,14,5.37,35.31,0
2017,4,11,15,5.49,36.69,0
2017,4,11,16,5.8,40.31,0
2017,4,11,17,6.84,51.75,0
2017,4,11,18,7.32,66.62,0
2017,4,11,19,6.77,67.62,0
2017,4,11,20,6.59,68.44,0
2017,4,11,21,6.41,69.38,0
2017,4,11,22,6.35,71.94,0
2017,4,11,23,6.41,75.56,0
2017,4,12,0,6.41,78.56,0
2017,4,12,1,6.29,79.94,0
2017,4,12,2,6.23,81.12,0
2017,4,12,3,6.16,82.5,0
2017,4,12,4,6.16,83.88,0
2017,4,12,5,6.16,84.56,0
2017,4,12,6,6.35,84.62,0
2017,4,12,7,6.35,78.25,0
2017,4,12,8,6.16,72.25,0
2017,4,12,9,6.23,68.06,0
2017,4,12,10,5.55,51.19,0
2017,4,12,11,5.37,45,0
2017,4,12,12,5.74,47.06,0.01
2017,4,12,13,5.86,47.75,0.03
2017,4,12,14,5.92,48.81,0.02
2017,4,12,15,6.04,50.12,0.01
2017,4,12,16,6.35,52.94,0.01
2017,4,12,17,7.26,64.12,0.01
2017,4,12,18,7.32,70.56,0.01
2017,4,12,19,7.26,74.25,0.01
2017,4,12,20,7.32,78.06,0
2017,4,12,21,7.26,81.12,0
2017,4,12,22,7.14,83.69,0
2017,4,12,23,7.02,85.81,0
2017,4,13,0,6.96,87.19,0
2017,4,13,1,6.9,88,0
2017,4,13,2,6.9,89,0
2017,4,13,3,6.84,90.12,0
2017,4,13,4,6.9,90.5,0
2017,4,13,5,6.84,91.38,0
2017,4,13,6,6.84,89.94,0
2017,4,13,7,6.84,85.25,0
2017,4,13,8,6.77,75.88,0
2017,4,13,9,6.71,64.81,0
2017,4,13,10,6.65,55.94,0
2017,4,13,11,6.77,50.62,0
2017,4,13,12,6.84,47.06,0
2017,4,13,13,6.84,45.31,0.01
2017,4,13,14,6.9,44.69,0.01
2017,4,13,15,6.9,45,0
2017,4,13,16,6.96,47.25,0
2017,4,13,17,7.51,55.75,0
2017,4,13,18,7.87,68.5,0
2017,4,13,19,7.57,72.12,0
2017,4,13,20,7.39,74,0
2017,4,13,21,7.14,76.06,0
2017,4,13,22,6.9,78.69,0
2017,4,13,23,6.77,82.12,0
2017,4,14,0,6.71,85.12,0
2017,4,14,1,6.53,87.12,0
2017,4,14,2,6.41,88.62,0
2017,4,14,3,6.35,89.19,0
2017,4,14,4,6.23,88.19,0
2017,4,14,5,6.1,87.44,0
2017,4,14,6,6.47,82.62,0
2017,4,14,7,6.29,69.19,0
