YEAR,MO,DY,HR,PS,WS10M,WD10M,WS50M
2017,4,1,2,100.12,6.29,23.73,8.03
2017,4,1,3,100.11,6.16,25.2,7.93
2017,4,1,4,100.12,6.09,26.83,7.96
2017,4,1,5,100.14,6.43,30.21,8.26
2017,4,1,6,100.16,6.42,29.37,7.78
2017,4,1,7,100.2,6.92,32.36,8
2017,4,1,8,100.24,6.63,33.28,7.52
2017,4,1,9,100.26,6.25,29.9,7.06
2017,4,1,10,100.25,6,26.43,6.82
2017,4,1,11,100.22,5.71,22.03,6.56
2017,4,1,12,100.17,5.38,16.46,6.41
2017,4,1,13,100.12,5.3,11.23,6.38
2017,4,1,14,100.06,5.32,7.84,6.45
2017,4,1,15,100.04,5.35,6.28,6.57
2017,4,1,16,100.05,5.4,4.23,6.73
2017,4,1,17,100.08,4.95,1.36,6.72
2017,4,1,18,100.13,4.56,2.06,7.16
2017,4,1,19,100.2,4.78,8.18,7.31
2017,4,1,20,100.24,4.47,12.31,6.76
2017,4,1,21,100.25,3.94,14.01,5.97
2017,4,1,22,100.25,3.46,16.8,5.29
2017,4,1,23,100.24,3.13,22.15,4.81
2017,4,2,0,100.22,2.94,28.95,4.45
2017,4,2,1,100.2,2.75,36.35,4.11
2017,4,2,2,100.2,2.56,43.39,3.73
2017,4,2,3,100.21,2.39,49.24,3.32
2017,4,2,4,100.22,2.24,54.37,2.95
2017,4,2,5,100.24,2.1,58.09,2.68
2017,4,2,6,100.29,1.97,60.28,2.64
2017,4,2,7,100.33,2.17,62.15,2.33
2017,4,2,8,100.38,1.78,56.66,1.89
2017,4,2,9,100.42,1.24,56.31,1.4
2017,4,2,10,100.44,0.61,69.02,0.92
2017,4,2,11,100.42,0.07,135,0.45
2017,4,2,12,100.38,0.54,252.35,0.36
2017,4,2,13,100.34,1.03,259.03,0.82
2017,4,2,14,100.29,1.53,260.3,1.44
2017,4,2,15,100.28,1.98,258.65,2.05
2017,4,2,16,100.29,2.46,258.08,2.83
2017,4,2,17,100.32,2.66,262.23,3.98
