YEAR,MO,DY,HR,T2MDEW,T2MWET,T2M
2017,1,1,2,-5.47,-4.98,-4.49
2017,1,1,3,-5.6,-5.1,-4.61
2017,1,1,4,-5.74,-5.24,-4.74
2017,1,1,5,-5.95,-5.42,-4.88
2017,1,1,6,-6.2,-5.6,-5
2017,1,1,7,-6.41,-5.67,-4.94
2017,1,1,8,-6.07,-4.74,-3.42
2017,1,1,9,-5.04,-2.95,-0.86
2017,1,1,10,-4.1,-1.31,1.48
2017,1,1,11,-3.7,0.19,4.07
2017,1,1,12,-3.82,0.79,5.39
2017,1,1,13,-3.94,0.99,5.92
2017,1,1,14,-3.78,0.99,5.77
2017,1,1,15,-1.92,1.3,4.51
2017,1,1,16,-3.93,-1.23,1.47
2017,1,1,17,-4.78,-2.45,-0.13
2017,1,1,18,-4.67,-2.66,-0.64
2017,1,1,19,-4.54,-2.81,-1.09
2017,1,1,20,-4.39,-2.98,-1.56
2017,1,1,21,-4.2,-3.1,-1.99
2017,1,1,22,-4.01,-3.23,-2.45
2017,1,1,23,-3.86,-3.38,-2.89
2017,1,2,0,-3.79,-3.55,-3.31
2017,1,2,1,-3.8,-3.73,-3.66
2017,1,2,2,-3.92,-3.92,-3.94
2017,1,2,3,-4.13,-4.15,-4.17
2017,1,2,4,-4.43,-4.36,-4.29
2017,1,2,5,-4.71,-4.56,-4.41
2017,1,2,6,-4.99,-4.74,-4.5
2017,1,2,7,-5.26,-4.8,-4.35
2017,1,2,8,-4.93,-3.91,-2.89
2017,1,2,9,-4.06,-2.31,-0.56
2017,1,2,10,-3.18,-0.11,2.95
2017,1,2,11,-3.38,0.95,5.28
2017,1,2,12,-3.6,1.33,6.27
2017,1,2,13,-3.64,1.5,6.64
2017,1,2,14,-3.51,1.47,6.44
2017,1,2,15,-2.34,1.49,5.32
2017,1,2,16,-4.42,-0.36,3.69
2017,1,2,17,-4.96,-1.03,2.89
2017,1,2,18,-5.03,-1.58,1.87
2017,1,2,19,-5.11,-2.31,0.49
2017,1,2,20,-5.1,-2.88,-0.66
2017,1,2,21,-5.01,-3.32,-1.63
2017,1,2,22,-4.84,-3.49,-2.13
