YEAR,MO,DY,HR,PS,WS10M,WD10M,WS50M
2017,1,1,2,99.36,2.01,81.52,3.21
2017,1,1,3,99.34,2,82.12,3.24
2017,1,1,4,99.32,2.03,81.15,3.43
2017,1,1,5,99.31,2.12,80.68,3.78
2017,1,1,6,99.33,2.23,81.33,4.04
2017,1,1,7,99.35,2.61,83.98,4.13
2017,1,1,8,99.37,3.42,87.25,3.71
2017,1,1,9,99.38,3.4,91.45,3.71
2017,1,1,10,99.37,3.12,92.3,3.43
2017,1,1,11,99.33,2.39,88.88,2.66
2017,1,1,12,99.26,1.7,78.85,1.89
2017,1,1,13,99.19,1.53,58.34,1.69
2017,1,1,14,99.15,1.7,43.14,1.88
2017,1,1,15,99.14,1.47,35.04,2.21
2017,1,1,16,99.14,1.84,35.31,2.61
2017,1,1,17,99.16,2.02,44.53,2.81
2017,1,1,18,99.2,2.01,55.63,2.81
2017,1,1,19,99.24,1.97,68.11,2.78
2017,1,1,20,99.26,1.97,78.78,2.81
2017,1,1,21,99.27,1.98,85.26,2.85
2017,1,1,22,99.27,2,90,2.9
2017,1,1,23,99.27,2.03,93.54,2.98
2017,1,2,0,99.24,2.03,95.95,3.06
2017,1,2,1,99.2,2,97.85,3.11
2017,1,2,2,99.19,1.97,99.57,3.16
2017,1,2,3,99.16,2.03,103.13,3.48
2017,1,2,4,99.14,2.13,107.9,3.83
2017,1,2,5,99.16,2.15,109.09,3.89
2017,1,2,6,99.19,2.13,108.57,3.85
2017,1,2,7,99.22,2.47,107.69,3.82
2017,1,2,8,99.24,3.2,108.35,3.42
2017,1,2,9,99.28,2.92,110.04,3.01
2017,1,2,10,99.29,2.14,110.48,2.19
2017,1,2,11,99.25,1.03,93.9,1.03
2017,1,2,12,99.17,0.39,45.81,0.35
2017,1,2,13,99.1,0.64,326.5,0.64
2017,1,2,14,99.07,0.97,315,1.04
2017,1,2,15,99.05,0.8,315.4,1.12
2017,1,2,16,99.05,0.67,325.39,0.87
2017,1,2,17,99.07,0.24,42.4,0.29
2017,1,2,18,99.11,0.91,124.1,1.16
2017,1,2,19,99.14,1.66,137.47,2.26
2017,1,2,20,99.17,2.24,143.37,3.2
2017,1,2,21,99.19,2.63,143.1,3.98
2017,1,2,22,99.19,2.85,139.45,4.56
2017,1,2,23,99.19,2.92,134.46,5.03
2017,1,3,0,99.18,2.91,130.53,5.28
2017,1,3,1,99.16,2.9,128.32,5.44
2017,1,3,2,99.15,3,127.05,5.56
2017,1,3,3,99.12,3.22,127.2,5.61
2017,1,3,4,99.08,3.57,127.17,5.59
2017,1,3,5,99.09,3.83,128.37,5.55
2017,1,3,6,99.11,4.01,128.43,5.63
2017,1,3,7,99.13,4.09,126.85,5.69
2017,1,3,8,99.16,4.6,127.2,5.41
2017,1,3,9,99.17,4.44,129.43,4.73
2017,1,3,10,99.18,4.09,135.39,4.45
2017,1,3,11,99.13,4.06,150.13,4.68
2017,1,3,12,99.06,3.95,160.85,4.62
2017,1,3,13,99,3.68,167.5,4.41
2017,1,3,14,98.96,3.17,168.47,4.03
2017,1,3,15,98.95,2.17,156.67,3.57
2017,1,3,16,98.95,2.58,144.48,3.88
2017,1,3,17,98.98,2.85,141.68,4.25
2017,1,3,18,99.02,2.89,145.36,4.43
2017,1,3,19,99.06,2.88,149.46,4.52
2017,1,3,20,99.07,2.88,152.53,4.61
2017,1,3,21,99.07,2.86,154.07,4.62
2017,1,3,22,99.07,2.82,153.86,4.61
2017,1,3,23,99.06,2.82,152.94,4.64
2017,1,4,0,99.02,2.86,150.7,4.74
2017,1,4,1,99,2.93,148.43,4.97
2017,1,4,2,98.97,2.98,146.56,5.2
2017,1,4,3,98.91,3.01,145.69,5.28
2017,1,4,4,98.87,2.99,146.6,5.27
2017,1,4,5,98.86,2.95,146.9,5.17
