"Tarih","Saat","PTF (TL/MWh)","PTF (USD/MWh)","PTF (EUR/MWh)"
"01/12/2017","00:00","132,00","33,51","28,29"
"01/12/2017","01:00","135,55","34,41","29,05"
"01/12/2017","02:00","135,25","34,34","28,98"
"01/12/2017","03:00","104,00","26,40","22,29"
"01/12/2017","04:00","90,56","22,99","19,41"
"01/12/2017","05:00","75,51","19,17","16,18"
"01/12/2017","06:00","150,00","38,08","32,15"
"01/12/2017","07:00","168,18","42,70","36,04"
"01/12/2017","08:00","180,22","45,75","38,62"
"01/12/2017","09:00","180,23","45,76","38,62"
"01/12/2017","10:00","193,00","49,00","41,36"
"01/12/2017","11:00","180,22","45,75","38,62"
"01/12/2017","12:00","126,74","32,18","27,16"
"01/12/2017","13:00","50,23","12,75","10,76"
"01/12/2017","14:00","158,94","40,35","34,06"
"01/12/2017","15:00","158,95","40,35","34,06"
"01/12/2017","16:00","156,03","39,61","33,44"
"01/12/2017","17:00","158,94","40,35","34,06"
"01/12/2017","18:00","174,00","44,17","37,29"
"01/12/2017","19:00","168,18","42,70","36,04"
"01/12/2017","20:00","143,18","36,35","30,68"
"01/12/2017","21:00","154,48","39,22","33,11"
"01/12/2017","22:00","130,99","33,25","28,07"
"01/12/2017","23:00","109,10","27,70","23,38"
"02/12/2017","00:00","155,65","39,58","33,24"
"02/12/2017","01:00","158,93","40,42","33,94"
"02/12/2017","02:00","104,01","26,45","22,21"
"02/12/2017","03:00","104,01","26,45","22,21"
"02/12/2017","04:00","104,01","26,45","22,21"
"02/12/2017","05:00","104,00","26,45","22,21"
"02/12/2017","06:00","155,66","39,58","33,24"
"02/12/2017","07:00","134,66","34,24","28,75"
"02/12/2017","08:00","160,00","40,69","34,16"
"02/12/2017","09:00","168,65","42,89","36,01"
"02/12/2017","10:00","168,66","42,89","36,01"
"02/12/2017","11:00","168,66","42,89","36,01"
"02/12/2017","12:00","126,74","32,23","27,06"
"02/12/2017","13:00","155,65","39,58","33,24"
"02/12/2017","14:00","156,66","39,84","33,45"
"02/12/2017","15:00","156,66","39,84","33,45"
"02/12/2017","16:00","143,66","36,53","30,68"
"02/12/2017","17:00","123,00","31,28","26,26"
"02/12/2017","18:00","167,66","42,64","35,80"
"02/12/2017","19:00","155,65","39,58","33,24"
"02/12/2017","20:00","172,94","43,98","36,93"
"02/12/2017","21:00","168,66","42,89","36,01"
"02/12/2017","22:00","138,88","35,32","29,65"
"02/12/2017","23:00","123,00","31,28","26,26"
"03/12/2017","00:00","169,34","43,06","36,16"
"03/12/2017","01:00","143,34","36,45","30,61"
"03/12/2017","02:00","104,01","26,45","22,21"
"03/12/2017","03:00","110,65","28,14","23,63"
"03/12/2017","04:00","104,01","26,45","22,21"
"03/12/2017","05:00","75,00","19,07","16,01"
"03/12/2017","06:00","150,00","38,14","32,03"
"03/12/2017","07:00","149,99","38,14","32,03"
"03/12/2017","08:00","109,10","27,74","23,30"
"03/12/2017","09:00","149,34","37,98","31,89"
"03/12/2017","10:00","125,00","31,79","26,69"
"03/12/2017","11:00","124,99","31,78","26,69"
"03/12/2017","12:00","104,00","26,45","22,21"
"03/12/2017","13:00","124,99","31,78","26,69"
"03/12/2017","14:00","124,99","31,78","26,69"
"03/12/2017","15:00","124,76","31,73","26,64"
"03/12/2017","16:00","132,99","33,82","28,40"
"03/12/2017","17:00","149,34","37,98","31,89"
"03/12/2017","18:00","211,07","53,67","45,07"
"03/12/2017","19:00","190,34","48,40","40,64"
"03/12/2017","20:00","173,94","44,23","37,14"
"03/12/2017","21:00","168,33","42,81","35,94"
"03/12/2017","22:00","143,99","36,62","30,75"
"03/12/2017","23:00","138,88","35,32","29,65"
"04/12/2017","00:00","109,36","27,81","23,35"
"04/12/2017","01:00","143,88","36,59","30,72"
"04/12/2017","02:00","143,89","36,59","30,72"
"04/12/2017","03:00","105,05","26,71","22,43"
"04/12/2017","04:00","143,11","36,39","30,56"
"04/12/2017","05:00","149,99","38,14","32,03"
"04/12/2017","06:00","189,99","48,31","40,57"
"04/12/2017","07:00","109,09","27,74","23,29"
"04/12/2017","08:00","190,10","48,34","40,59"
"04/12/2017","09:00","190,11","48,34","40,59"
