iter	Logloss
0	0.4322459329
1	0.4023647063
2	0.3993102698
3	0.3974307827
4	0.3766363807
5	0.369662192
6	0.3491322369
7	0.3444398808
8	0.3364263232
9	0.3248001847
10	0.3198243546
11	0.3176751661
12	0.3116745858
13	0.3097529519
14	0.3077985437
15	0.3054678062
16	0.3047772513
17	0.3028608881
18	0.2996462665
19	0.2982124781
20	0.2969225847
21	0.2958292962
22	0.294465458
23	0.2935652821
24	0.2921611903
25	0.2916796632
26	0.2909983067
27	0.2896537395
28	0.2889638934
29	0.2882845881
30	0.2878144977
31	0.2874365827
32	0.2872514665
33	0.2862961588
34	0.2859962811
35	0.2858443173
36	0.2849782573
37	0.2846647203
38	0.284300437
39	0.2840014854
40	0.2833594894
41	0.2830084623
42	0.2824893386
43	0.2822966289
44	0.2819799132
45	0.2816663215
46	0.2815880402
47	0.2813268841
48	0.2811135485
49	0.2810311953
50	0.2809416436
51	0.2807838808
52	0.2806112035
53	0.2803135633
54	0.2801585226
55	0.2799214631
56	0.279768243
57	0.2796619639
58	0.279507336
59	0.2792924772
60	0.2792481975
61	0.2790751155
62	0.278984567
63	0.2789259964
64	0.2788089985
65	0.2786221925
66	0.2785147127
67	0.2783738909
68	0.278286589
69	0.2782351164
70	0.2781431472
71	0.2780735572
72	0.2779845081
73	0.277930865
74	0.277903715
75	0.2778556624
76	0.2778213154
77	0.2777790802
78	0.2777501155
79	0.2777017893
80	0.2776665564
81	0.27763536
82	0.2775875652
83	0.2775044265
84	0.2774679972
85	0.2774208497
86	0.2773772377
87	0.2773070524
88	0.2772529764
89	0.2772164076
90	0.2771898729
91	0.2771444399
92	0.2770764605
93	0.2770018144
94	0.2769515425
95	0.2769234584
96	0.2768938363
97	0.2768493852
98	0.2768283786
99	0.2768071674
100	0.2767867389
101	0.2767686049
102	0.2767502619
103	0.2767369546
104	0.2767171275
105	0.2767001372
106	0.2766633997
107	0.2766134401
108	0.2765858323
109	0.2765557583
110	0.2765110835
111	0.2764819319
112	0.2764524713
113	0.2764198171
114	0.2763819327
115	0.2763249328
116	0.276271433
117	0.2762568598
118	0.2762287523
119	0.2762180877
120	0.2761981268
121	0.2761660124
122	0.2761485559
123	0.2761290278
124	0.2760914786
125	0.2760757989
126	0.2760750223
127	0.2760698851
128	0.2760616775
129	0.2760600875
130	0.2760477118
131	0.2760327661
132	0.2760167982
133	0.2759513252
134	0.2759145179
135	0.27588025
136	0.2758579425
137	0.2758378118
138	0.2758099313
139	0.2757961133
140	0.275757767
141	0.2757266212
142	0.2757157491
143	0.2756956008
144	0.2756954824
145	0.2756825723
146	0.2756628148
147	0.2756513531
148	0.2756453428
149	0.2756273104
150	0.2756127978
151	0.2756130557
152	0.2756128821
153	0.2756126215
154	0.2755936227
155	0.2755929081
156	0.275574394
157	0.2755607968
158	0.2755453402
159	0.2755323217
160	0.2755277294
161	0.2755224143
162	0.2755133575
163	0.2754846301
164	0.2754740595
165	0.2754741963
166	0.2754688806
167	0.2754616534
168	0.2754504195
169	0.2754504195
170	0.2754504195
171	0.2754504195
172	0.2754504667
173	0.2754507056
174	0.2754505627
175	0.2754505393
176	0.2754507389
177	0.2754507389
178	0.2754441335
179	0.2754298507
180	0.2754108784
181	0.2753959527
182	0.2753798724
183	0.2753642819
184	0.2753635573
185	0.2753483475
186	0.2753451258
187	0.2753223924
188	0.2753134369
189	0.2753137841
190	0.2753020703
191	0.2752983829
192	0.2752891317
193	0.2752741252
194	0.2752655509
195	0.2752540096
196	0.275245973
197	0.2752433003
198	0.2752324661
199	0.2752164955
200	0.2751967714
201	0.2751874812
202	0.2751762501
203	0.2751720814
204	0.2751596885
205	0.2751547466
206	0.2751464155
207	0.2751353386
208	0.2751189492
209	0.2751143088
210	0.2751142511
211	0.2751086391
212	0.2751015756
213	0.275096093
214	0.2750847194
215	0.2750787812
216	0.2750787812
217	0.2750664193
218	0.2750578615
219	0.2750479814
