iter	Passed	Remaining
0	0	371
1	1	417
2	2	376
3	2	335
4	3	343
5	4	343
6	4	346
7	5	343
8	6	343
9	6	338
10	7	334
11	8	333
12	9	340
13	10	351
14	10	346
15	11	342
16	11	336
17	12	333
18	13	330
19	13	327
20	14	324
21	14	325
22	15	327
23	16	327
24	17	327
25	18	328
26	18	332
27	19	332
28	20	333
29	21	336
30	22	335
31	22	336
32	23	334
33	24	332
34	25	333
35	25	335
36	26	333
37	27	331
38	28	331
39	28	331
40	29	331
41	30	329
42	30	328
43	31	327
44	32	327
45	33	326
46	33	324
47	34	323
48	35	323
49	35	323
50	36	323
51	37	321
52	38	322
53	38	320
54	39	319
55	40	321
56	41	320
57	41	318
58	42	319
59	43	317
60	44	317
61	44	317
62	45	316
63	46	316
64	47	316
65	47	315
66	48	314
67	49	313
68	49	312
69	50	311
70	51	309
71	51	308
72	52	307
73	53	306
74	54	306
75	54	306
76	55	305
77	56	305
78	57	304
79	57	303
80	58	302
81	59	301
82	59	300
83	60	299
84	61	299
85	62	298
86	62	298
87	63	297
88	64	297
89	64	295
90	65	294
91	66	293
92	66	292
93	67	292
94	68	291
95	69	291
96	69	290
97	70	289
98	71	288
99	71	287
100	72	287
101	73	286
102	74	285
103	74	285
104	75	284
105	76	284
106	77	283
107	78	283
108	78	282
109	79	281
110	80	281
111	81	280
112	81	279
113	82	279
114	83	278
115	83	277
116	84	276
117	85	275
118	85	274
119	86	274
120	87	273
121	87	272
122	88	271
123	89	270
124	89	269
125	90	269
126	91	268
127	92	268
128	93	267
129	93	267
130	94	266
131	95	265
132	96	264
133	96	263
134	97	263
135	98	263
136	99	262
137	99	261
138	100	260
139	101	260
140	101	259
141	102	258
142	103	257
143	104	257
144	104	256
145	105	255
146	106	254
147	106	253
148	107	253
149	108	252
150	109	251
151	109	250
152	110	249
153	110	248
154	111	248
155	112	247
156	112	246
157	113	245
158	114	245
159	115	244
160	115	244
161	116	243
162	117	242
163	118	241
164	118	241
165	119	239
166	120	239
167	121	239
168	121	238
169	122	237
170	122	236
171	123	235
172	123	234
173	124	233
174	124	232
175	125	231
176	126	230
177	127	229
178	127	228
179	128	228
180	129	227
181	130	227
182	130	226
183	131	226
184	132	225
185	132	224
186	133	223
187	134	223
188	135	222
189	135	221
190	136	220
191	137	220
192	138	219
193	138	219
194	139	218
195	140	217
196	140	216
197	141	215
198	142	215
199	143	214
200	143	214
201	144	213
202	145	212
203	146	211
204	146	211
205	147	210
206	148	209
207	148	208
208	149	208
209	150	207
210	150	206
211	151	205
212	152	205
213	152	204
214	154	204
215	154	203
216	155	202
217	155	201
218	156	201
219	157	200
220	158	199
221	158	198
222	159	198
223	160	197
224	160	196
225	161	195
226	162	195
227	162	194
228	163	193
229	164	193
230	165	192
231	166	191
232	166	190
233	167	190
234	168	189
235	168	188
236	169	188
237	170	187
238	171	186
239	171	186
240	172	185
241	173	185
242	174	184
243	174	183
244	175	182
245	176	181
246	176	181
247	177	180
248	178	179
249	179	179
250	180	178
251	181	178
252	181	177
253	182	176
254	183	175
255	183	175
256	184	174
257	184	173
258	185	172
259	186	171
260	186	170
261	187	170
262	187	169
263	188	168
264	189	167
265	190	167
266	190	166
267	191	165
268	191	164
269	192	164
270	193	163
271	193	162
272	194	161
273	195	161
274	195	160
275	196	159
276	197	158
277	197	157
278	198	157
279	199	156
280	199	155
281	200	154
282	201	154
283	202	153
284	202	152
285	203	152
286	204	151
287	204	150
288	205	149
289	206	149
290	206	148
291	207	147
292	208	147
293	208	146
294	209	145
295	210	144
296	210	144
297	211	143
298	212	142
299	212	141
300	213	140
301	214	140
302	214	139
303	215	138
304	216	138
305	216	137
306	217	136
307	218	135
308	218	135
309	219	134
310	220	133
311	220	132
312	221	132
313	222	131
314	222	130
315	223	130
316	224	129
317	224	128
