YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET
2017,4,1,2,7.32,5.66,6.49
2017,4,1,3,7.12,5.49,6.31
2017,4,1,4,6.96,5.32,6.14
2017,4,1,5,6.88,5.08,5.98
2017,4,1,6,6.74,5.03,5.88
2017,4,1,7,7.96,4.95,6.45
2017,4,1,8,9.98,5.24,7.61
2017,4,1,9,12.36,5.8,9.08
2017,4,1,10,14.75,6.4,10.57
2017,4,1,11,16.68,6.83,11.76
2017,4,1,12,17.81,7.3,12.56
2017,4,1,13,18.42,7.44,12.94
2017,4,1,14,18.62,7.33,12.98
2017,4,1,15,18.42,7.12,12.77
2017,4,1,16,17.65,6.87,12.26
2017,4,1,17,16,7.15,11.57
2017,4,1,18,13.14,7.17,10.15
2017,4,1,19,11.37,6.3,8.83
2017,4,1,20,9.92,5.7,7.81
2017,4,1,21,8.8,5.48,7.15
2017,4,1,22,8.05,5.4,6.73
2017,4,1,23,7.46,5.33,6.4
2017,4,2,0,6.94,5.23,6.08
2017,4,2,1,6.44,5.15,5.8
2017,4,2,2,6.01,5.15,5.58
2017,4,2,3,5.83,5.15,5.49
2017,4,2,4,5.94,5.12,5.53
2017,4,2,5,6.1,5.13,5.62
2017,4,2,6,6.98,5.57,6.27
2017,4,2,7,9.15,5.87,7.51
2017,4,2,8,11.65,6.07,8.87
2017,4,2,9,14.95,5.48,10.22
2017,4,2,10,17.53,5.45,11.49
2017,4,2,11,19.15,5.27,12.22
2017,4,2,12,20.43,5.3,12.87
2017,4,2,13,20.95,6.14,13.55
2017,4,2,14,20.96,6.71,13.83
2017,4,2,15,20.56,7.14,13.85
2017,4,2,16,19.69,7.65,13.67
2017,4,2,17,17.73,9.66,13.69
2017,4,2,18,14.58,10.18,12.38
2017,4,2,19,13.18,9.33,11.26
2017,4,2,20,12.61,8.88,10.75
2017,4,2,21,12.39,8.4,10.39
2017,4,2,22,12.27,8.04,10.15
2017,4,2,23,12.16,7.94,10.05
2017,4,3,0,11.96,7.98,9.97
2017,4,3,1,11.66,8.06,9.86
2017,4,3,2,11.41,8.18,9.8
2017,4,3,3,11.21,8.27,9.74
2017,4,3,4,11.12,8.4,9.76
2017,4,3,5,11.05,8.55,9.8
2017,4,3,6,11.25,8.88,10.07
2017,4,3,7,13.26,9.54,11.4
2017,4,3,8,15.08,9.41,12.25
2017,4,3,9,16.79,9.71,13.25
2017,4,3,10,18.39,9.74,14.07
2017,4,3,11,19.46,9.62,14.54
2017,4,3,12,20.19,9.25,14.72
2017,4,3,13,20.47,8.83,14.65
2017,4,3,14,20.35,8.48,14.41
2017,4,3,15,19.86,8.26,14.05
2017,4,3,16,18.9,8.38,13.64
2017,4,3,17,17.17,9.86,13.51
2017,4,3,18,14.64,10.6,12.62
2017,4,3,19,14.37,9.42,11.9
2017,4,3,20,14.34,8.72,11.53
2017,4,3,21,13.77,9.21,11.49
2017,4,3,22,13.04,9.51,11.28
2017,4,3,23,12.69,9.58,11.13
2017,4,4,0,12.58,9.57,11.07
2017,4,4,1,12.48,9.52,11.01
2017,4,4,2,12.42,9.47,10.94
2017,4,4,3,12.4,9.51,10.96
2017,4,4,4,12.48,9.7,11.08
2017,4,4,5,12.69,10.06,11.37
2017,4,4,6,13.39,10.68,12.04
2017,4,4,7,14.16,11.37,12.76
2017,4,4,8,14.9,11.63,13.26
2017,4,4,9,15.49,11.81,13.65
2017,4,4,10,16.13,11.85,13.99
2017,4,4,11,16.77,11.8,14.29
2017,4,4,12,17.36,11.69,14.52
2017,4,4,13,17.78,11.57,14.67
2017,4,4,14,18.08,11.41,14.75
2017,4,4,15,18.23,11.38,14.8
2017,4,4,16,17.92,12.03,14.98
2017,4,4,17,16.63,13.26,14.94
2017,4,4,18,15.33,12.74,14.04
2017,4,4,19,14.83,12.62,13.73
2017,4,4,20,14.62,12.52,13.58
2017,4,4,21,14.69,12.39,13.54
2017,4,4,22,14.84,12.32,13.58
2017,4,4,23,15.12,12.19,13.65
2017,4,5,0,14.88,12.3,13.59
2017,4,5,1,14.2,11.99,13.1
2017,4,5,2,13.59,11.76,12.68
2017,4,5,3,13.33,11.51,12.42
2017,4,5,4,13.13,11.25,12.19
2017,4,5,5,12.75,11.08,11.92
2017,4,5,6,12.41,11.16,11.79
2017,4,5,7,13.64,11.3,12.47
2017,4,5,8,14.6,11.14,12.87
2017,4,5,9,16.32,10.81,13.56
2017,4,5,10,18.47,10.61,14.54
2017,4,5,11,20.3,10.09,15.19
2017,4,5,12,21.47,9.26,15.37
2017,4,5,13,21.77,8.89,15.33
2017,4,5,14,21.39,9.04,15.21
2017,4,5,15,20.72,9.25,14.98
2017,4,5,16,19.7,9.69,14.69
