YEAR,MO,DY,HR,QV2M,RH2M,PRECTOTCORR
2017,1,1,2,2.5,95.62,0
2017,1,1,3,2.5,95.62,0
2017,1,1,4,2.44,95.44,0
2017,1,1,5,2.44,94.94,0
2017,1,1,6,2.38,94.12,0
2017,1,1,7,2.32,92.06,0
2017,1,1,8,2.38,83.12,0
2017,1,1,9,2.62,72.94,0
2017,1,1,10,2.81,65.75,0
2017,1,1,11,2.87,56.5,0
2017,1,1,12,2.87,51,0
2017,1,1,13,2.87,48.69,0
2017,1,1,14,2.87,49.81,0
2017,1,1,15,3.36,62.94,0
2017,1,1,16,2.87,66.81,0
2017,1,1,17,2.69,70.06,0
2017,1,1,18,2.69,73.75,0
2017,1,1,19,2.69,77.31,0
2017,1,1,20,2.75,81.44,0
2017,1,1,21,2.81,85.69,0
2017,1,1,22,2.81,90.31,0
2017,1,1,23,2.87,94.88,0
2017,1,2,0,2.87,98.88,0
2017,1,2,1,2.87,100,0.02
2017,1,2,2,2.87,100,0.02
2017,1,2,3,2.81,100,0.02
2017,1,2,4,2.75,100,0
2017,1,2,5,2.69,100,0
2017,1,2,6,2.62,99.5,0
2017,1,2,7,2.56,96.06,0
2017,1,2,8,2.62,87.25,0
2017,1,2,9,2.81,77,0
2017,1,2,10,2.99,63.62,0
2017,1,2,11,2.99,53.19,0
2017,1,2,12,2.93,48.75,0
2017,1,2,13,2.93,47.44,0
2017,1,2,14,2.93,48.56,0
2017,1,2,15,3.23,57.62,0
2017,1,2,16,2.75,54.81,0
2017,1,2,17,2.62,55.5,0
2017,1,2,18,2.62,59.38,0
2017,1,2,19,2.56,65.19,0
2017,1,2,20,2.62,71.38,0
2017,1,2,21,2.62,78,0
2017,1,2,22,2.62,82.5,0
2017,1,2,23,2.69,85.06,0
2017,1,3,0,2.75,86.69,0
2017,1,3,1,2.75,87.5,0
2017,1,3,2,2.75,87.69,0
2017,1,3,3,2.75,87.19,0
2017,1,3,4,2.75,85.44,0
2017,1,3,5,2.81,83.5,0
2017,1,3,6,2.81,83.62,0
2017,1,3,7,2.75,83.38,0
2017,1,3,8,2.87,76.38,0
2017,1,3,9,3.05,70.25,0
2017,1,3,10,3.42,65.94,0
2017,1,3,11,4.15,64,0
2017,1,3,12,4.52,62.06,0
2017,1,3,13,4.7,61.75,0
2017,1,3,14,4.88,64.06,0
2017,1,3,15,5,76.56,0
2017,1,3,16,4.52,85.94,0
2017,1,3,17,4.33,94,0
2017,1,3,18,4.27,95.38,0
2017,1,3,19,4.27,96.19,0
2017,1,3,20,4.33,98.75,0.01
2017,1,3,21,4.46,100,0.01
2017,1,3,22,4.52,100,0.02
2017,1,3,23,4.52,100,0.02
2017,1,4,0,4.52,100,0.01
2017,1,4,1,4.52,100,0.01
2017,1,4,2,4.52,100,0.01
2017,1,4,3,4.46,100,0.01
2017,1,4,4,4.46,100,0
2017,1,4,5,4.46,100,0
2017,1,4,6,4.46,100,0
2017,1,4,7,4.39,100,0
2017,1,4,8,4.7,97.81,0.01
2017,1,4,9,4.94,90.88,0.02
2017,1,4,10,5.25,86.25,0.02
2017,1,4,11,5.43,80.31,0.02
2017,1,4,12,5.55,76.81,0.01
2017,1,4,13,5.74,76.19,0.01
2017,1,4,14,5.92,78.12,0
2017,1,4,15,5.98,82.81,0
2017,1,4,16,5.8,91.56,0
2017,1,4,17,5.74,98.75,0
2017,1,4,18,5.92,97.31,0.01
2017,1,4,19,6.1,96,0.04
2017,1,4,20,6.23,98.06,0.15
2017,1,4,21,6.23,100,0.15
2017,1,4,22,6.35,98.81,0.27
2017,1,4,23,6.53,95.81,0.44
2017,1,5,0,6.65,95.56,0.6
2017,1,5,1,6.71,95.31,0.93
2017,1,5,2,6.84,94.25,1.79
2017,1,5,3,7.08,93.44,2.33
2017,1,5,4,7.45,93.31,1.38
2017,1,5,5,7.69,93.94,1.3
2017,1,5,6,7.87,94.44,1.46
2017,1,5,7,8,94.56,1.42
2017,1,5,8,8.18,93.38,1.1
2017,1,5,9,8.36,92.19,0.72
2017,1,5,10,8.48,88.94,0.47
2017,1,5,11,8.06,81.38,0.49
2017,1,5,12,7.75,77.44,0.5
2017,1,5,13,7.57,75.88,0.48
2017,1,5,14,7.51,74.25,0.44
2017,1,5,15,7.39,76.19,0.48
2017,1,5,16,7.39,83.62,0.44
2017,1,5,17,7.32,88.88,0.28
2017,1,5,18,7.39,91.06,0.32
