Tarih,Saat,yuk_tahmin_plani
01/01/2017,00:00,"26.100,00"
01/01/2017,01:00,"25.000,00"
01/01/2017,02:00,"23.600,00"
01/01/2017,03:00,"22.500,00"
01/01/2017,04:00,"22.100,00"
01/01/2017,05:00,"22.100,00"
01/01/2017,06:00,"22.100,00"
01/01/2017,07:00,"22.100,00"
01/01/2017,08:00,"22.600,00"
01/01/2017,09:00,"24.200,00"
01/01/2017,10:00,"26.200,00"
01/01/2017,11:00,"27.100,00"
01/01/2017,12:00,"27.300,00"
01/01/2017,13:00,"26.400,00"
01/01/2017,14:00,"27.300,00"
01/01/2017,15:00,"27.400,00"
01/01/2017,16:00,"28.100,00"
01/01/2017,17:00,"29.000,00"
01/01/2017,18:00,"30.200,00"
01/01/2017,19:00,"30.100,00"
01/01/2017,20:00,"30.000,00"
01/01/2017,21:00,"29.600,00"
01/01/2017,22:00,"30.000,00"
01/01/2017,23:00,"29.400,00"
02/01/2017,00:00,"27.600,00"
02/01/2017,01:00,"25.700,00"
02/01/2017,02:00,"24.300,00"
02/01/2017,03:00,"23.900,00"
02/01/2017,04:00,"23.700,00"
02/01/2017,05:00,"24.000,00"
02/01/2017,06:00,"25.200,00"
02/01/2017,07:00,"27.500,00"
02/01/2017,08:00,"32.500,00"
02/01/2017,09:00,"35.300,00"
02/01/2017,10:00,"36.500,00"
02/01/2017,11:00,"37.500,00"
02/01/2017,12:00,"37.000,00"
02/01/2017,13:00,"37.300,00"
02/01/2017,14:00,"37.400,00"
02/01/2017,15:00,"37.000,00"
02/01/2017,16:00,"36.800,00"
02/01/2017,17:00,"37.100,00"
02/01/2017,18:00,"36.700,00"
02/01/2017,19:00,"35.200,00"
02/01/2017,20:00,"34.000,00"
02/01/2017,21:00,"32.600,00"
02/01/2017,22:00,"31.700,00"
02/01/2017,23:00,"30.300,00"
03/01/2017,00:00,"29.500,00"
03/01/2017,01:00,"27.500,00"
03/01/2017,02:00,"26.000,00"
03/01/2017,03:00,"25.600,00"
03/01/2017,04:00,"25.500,00"
03/01/2017,05:00,"26.000,00"
03/01/2017,06:00,"27.300,00"
03/01/2017,07:00,"29.800,00"
03/01/2017,08:00,"33.700,00"
03/01/2017,09:00,"37.200,00"
03/01/2017,10:00,"38.500,00"
03/01/2017,11:00,"38.900,00"
03/01/2017,12:00,"38.000,00"
03/01/2017,13:00,"38.300,00"
03/01/2017,14:00,"38.400,00"
03/01/2017,15:00,"37.900,00"
03/01/2017,16:00,"38.100,00"
03/01/2017,17:00,"38.400,00"
03/01/2017,18:00,"37.800,00"
03/01/2017,19:00,"36.600,00"
03/01/2017,20:00,"35.700,00"
03/01/2017,21:00,"34.600,00"
03/01/2017,22:00,"33.900,00"
03/01/2017,23:00,"32.600,00"
04/01/2017,00:00,"30.900,00"
04/01/2017,01:00,"29.000,00"
04/01/2017,02:00,"27.800,00"
04/01/2017,03:00,"27.300,00"
04/01/2017,04:00,"27.200,00"
04/01/2017,05:00,"27.700,00"
04/01/2017,06:00,"29.200,00"
04/01/2017,07:00,"31.600,00"
04/01/2017,08:00,"35.400,00"
04/01/2017,09:00,"38.400,00"
04/01/2017,10:00,"39.600,00"
04/01/2017,11:00,"39.800,00"
04/01/2017,12:00,"38.600,00"
04/01/2017,13:00,"38.800,00"
04/01/2017,14:00,"38.500,00"
04/01/2017,15:00,"38.300,00"
04/01/2017,16:00,"38.500,00"
04/01/2017,17:00,"39.000,00"
04/01/2017,18:00,"38.600,00"
04/01/2017,19:00,"37.700,00"
04/01/2017,20:00,"36.900,00"
04/01/2017,21:00,"36.000,00"
04/01/2017,22:00,"35.000,00"
04/01/2017,23:00,"32.700,00"
05/01/2017,00:00,"31.300,00"
05/01/2017,01:00,"29.400,00"
05/01/2017,02:00,"28.300,00"
05/01/2017,03:00,"27.700,00"
05/01/2017,04:00,"27.600,00"
05/01/2017,05:00,"27.900,00"
05/01/2017,06:00,"29.200,00"
05/01/2017,07:00,"31.900,00"
05/01/2017,08:00,"36.200,00"
05/01/2017,09:00,"39.400,00"
05/01/2017,10:00,"40.400,00"
05/01/2017,11:00,"40.700,00"
05/01/2017,12:00,"38.900,00"
05/01/2017,13:00,"38.600,00"
05/01/2017,14:00,"38.700,00"
05/01/2017,15:00,"38.800,00"
05/01/2017,16:00,"39.000,00"
05/01/2017,17:00,"39.200,00"
05/01/2017,18:00,"40.000,00"
05/01/2017,19:00,"38.000,00"
05/01/2017,20:00,"37.000,00"
05/01/2017,21:00,"36.100,00"
05/01/2017,22:00,"35.300,00"
05/01/2017,23:00,"33.700,00"
06/01/2017,00:00,"31.800,00"
06/01/2017,01:00,"29.700,00"
06/01/2017,02:00,"28.500,00"
06/01/2017,03:00,"27.800,00"
06/01/2017,04:00,"27.700,00"
06/01/2017,05:00,"27.900,00"
06/01/2017,06:00,"29.100,00"
06/01/2017,07:00,"31.800,00"
06/01/2017,08:00,"36.000,00"
06/01/2017,09:00,"39.300,00"
06/01/2017,10:00,"40.700,00"
06/01/2017,11:00,"41.100,00"
06/01/2017,12:00,"39.400,00"
06/01/2017,13:00,"38.800,00"
06/01/2017,14:00,"39.800,00"
06/01/2017,15:00,"39.500,00"
06/01/2017,16:00,"39.700,00"
06/01/2017,17:00,"40.200,00"
06/01/2017,18:00,"39.400,00"
06/01/2017,19:00,"38.100,00"
06/01/2017,20:00,"37.000,00"
06/01/2017,21:00,"35.800,00"
06/01/2017,22:00,"35.100,00"
06/01/2017,23:00,"34.100,00"
07/01/2017,00:00,"32.400,00"
07/01/2017,01:00,"30.200,00"
07/01/2017,02:00,"28.700,00"
07/01/2017,03:00,"28.000,00"
07/01/2017,04:00,"27.800,00"
07/01/2017,05:00,"27.800,00"
07/01/2017,06:00,"28.500,00"
07/01/2017,07:00,"29.600,00"
07/01/2017,08:00,"33.000,00"
07/01/2017,09:00,"36.200,00"
07/01/2017,10:00,"38.100,00"
07/01/2017,11:00,"39.000,00"
07/01/2017,12:00,"38.200,00"
07/01/2017,13:00,"38.100,00"
07/01/2017,14:00,"37.700,00"
07/01/2017,15:00,"37.000,00"
07/01/2017,16:00,"36.600,00"
07/01/2017,17:00,"36.900,00"
07/01/2017,18:00,"37.200,00"
07/01/2017,19:00,"36.300,00"
07/01/2017,20:00,"35.600,00"
07/01/2017,21:00,"34.700,00"
07/01/2017,22:00,"34.200,00"
07/01/2017,23:00,"33.000,00"
08/01/2017,00:00,"30.900,00"
08/01/2017,01:00,"28.800,00"
08/01/2017,02:00,"27.200,00"
08/01/2017,03:00,"26.400,00"
08/01/2017,04:00,"26.100,00"
08/01/2017,05:00,"26.100,00"
08/01/2017,06:00,"26.300,00"
08/01/2017,07:00,"26.500,00"
08/01/2017,08:00,"26.700,00"
08/01/2017,09:00,"28.500,00"
08/01/2017,10:00,"30.600,00"
08/01/2017,11:00,"31.800,00"
08/01/2017,12:00,"32.300,00"
08/01/2017,13:00,"32.500,00"
08/01/2017,14:00,"32.200,00"
08/01/2017,15:00,"31.800,00"
08/01/2017,16:00,"32.000,00"
08/01/2017,17:00,"33.400,00"
08/01/2017,18:00,"34.800,00"
