CALENDAR_DATE;DAY_OF_MONTH;DAY_OF_WEEK_SK;SEASON_SK;QUARTER_OF_YEAR;WEEKEND_FLAG;WEEK_OF_YEAR;RAMADAN_FLAG;RELIGIOUS_DAY_FLAG_SK;NATIONAL_DAY_FLAG_SK;PUBLIC_HOLIDAY_FLAG;SPECIAL_DAY_SK;SPECIAL_DAY_SK2
31.12.2024;31;2;4;4;N;53;N;100;205;N;;
30.12.2024;30;1;4;4;N;53;N;100;200;N;;
29.12.2024;29;7;4;4;Y;53;N;100;200;Y;;
28.12.2024;28;6;4;4;Y;52;N;100;200;Y;;
27.12.2024;27;5;4;4;N;52;N;100;200;N;;
26.12.2024;26;4;4;4;N;52;N;100;200;N;;
25.12.2024;25;3;4;4;N;52;N;100;200;N;;
24.12.2024;24;2;4;4;N;52;N;100;200;N;;
23.12.2024;23;1;4;4;N;52;N;100;200;N;;
22.12.2024;22;7;4;4;Y;52;N;100;200;Y;;
21.12.2024;21;6;4;4;Y;51;N;100;200;Y;;
20.12.2024;20;5;4;4;N;51;N;100;200;N;;
19.12.2024;19;4;4;4;N;51;N;100;200;N;;
18.12.2024;18;3;4;4;N;51;N;100;200;N;;
17.12.2024;17;2;4;4;N;51;N;100;200;N;;
16.12.2024;16;1;4;4;N;51;N;100;200;N;;
15.12.2024;15;7;4;4;Y;51;N;100;200;Y;;
14.12.2024;14;6;4;4;Y;50;N;100;200;Y;;
13.12.2024;13;5;4;4;N;50;N;100;200;N;;
12.12.2024;12;4;4;4;N;50;N;100;200;N;;
11.12.2024;11;3;4;4;N;50;N;100;200;N;;
10.12.2024;10;2;4;4;N;50;N;100;200;N;;
9.12.2024;9;1;4;4;N;50;N;100;200;N;;
8.12.2024;8;7;4;4;Y;50;N;100;200;Y;;
7.12.2024;7;6;4;4;Y;49;N;100;200;Y;;
6.12.2024;6;5;4;4;N;49;N;100;200;N;;
5.12.2024;5;4;4;4;N;49;N;100;200;N;;
4.12.2024;4;3;4;4;N;49;N;100;200;N;;
3.12.2024;3;2;4;4;N;49;N;100;200;N;;
2.12.2024;2;1;4;4;N;49;N;100;200;N;;
1.12.2024;1;7;4;4;Y;49;N;100;200;Y;;
30.11.2024;30;6;4;4;Y;48;N;100;200;Y;;
29.11.2024;29;5;4;4;N;48;N;100;200;N;;
28.11.2024;28;4;4;4;N;48;N;100;200;N;;
27.11.2024;27;3;4;4;N;48;N;100;200;N;;
26.11.2024;26;2;4;4;N;48;N;100;200;N;;
25.11.2024;25;1;4;4;N;48;N;100;200;N;;
24.11.2024;24;7;4;4;Y;48;N;100;200;Y;;
23.11.2024;23;6;4;4;Y;47;N;100;200;Y;;
22.11.2024;22;5;4;4;N;47;N;100;200;N;;
21.11.2024;21;4;4;4;N;47;N;100;200;N;;
20.11.2024;20;3;4;4;N;47;N;100;200;N;;
19.11.2024;19;2;4;4;N;47;N;100;200;N;;
18.11.2024;18;1;4;4;N;47;N;100;200;N;;
17.11.2024;17;7;4;4;Y;47;N;100;200;Y;;
16.11.2024;16;6;4;4;Y;46;N;100;200;Y;;
15.11.2024;15;5;4;4;N;46;N;100;200;N;;
14.11.2024;14;4;4;4;N;46;N;100;200;N;;
13.11.2024;13;3;4;4;N;46;N;100;200;N;;
12.11.2024;12;2;4;4;N;46;N;100;200;N;;
11.11.2024;11;1;4;4;N;46;N;100;200;N;;
10.11.2024;10;7;4;4;Y;46;N;100;200;Y;;
9.11.2024;9;6;4;4;Y;45;N;100;200;Y;;
8.11.2024;8;5;4;4;N;45;N;100;200;N;;
7.11.2024;7;4;4;4;N;45;N;100;200;N;;
