iter	MAPE
0	0.1937028087
1	0.1937025533
2	0.1937023466
3	0.1937021277
4	0.1937018723
5	0.1937017021
6	0.1937014589
7	0.19370124
8	0.1937009846
9	0.1937008022
10	0.1937005346
11	0.1937003279
12	0.193700109
13	0.1936998658
14	0.1936996347
15	0.1936994037
16	0.1936992091
17	0.1936989537
18	0.1936987592
19	0.1936984916
20	0.1936982971
21	0.1936980417
22	0.1936978228
23	0.1936975674
24	0.1936973972
25	0.1936971418
26	0.1936969594
27	0.1936966797
28	0.1936964973
29	0.1936962176
30	0.193696023
31	0.1936957798
32	0.193695573
33	0.193695342
34	0.1936951231
35	0.1936948799
36	0.193694661
37	0.1936944786
38	0.193694211
39	0.1936940043
40	0.1936937611
41	0.1936935422
42	0.1936933111
43	0.1936931044
44	0.1936928368
45	0.1936926544
46	0.1936923869
47	0.1936921802
48	0.1936919491
49	0.1936917181
50	0.193691487
51	0.1936912681
52	0.1936910249
53	0.1936908425
54	0.1936905749
55	0.193690356
56	0.193690125
57	0.1936899426
58	0.1936897115
59	0.1936894561
60	0.1936892616
61	0.1936890184
62	0.1936887873
63	0.1936885562
64	0.1936883495
65	0.1936881063
66	0.1936878996
67	0.1936876442
68	0.1936874374
69	0.1936871942
70	0.1936869753
71	0.19368672
72	0.1936865375
73	0.1936863065
74	0.1936860754
75	0.1936858565
76	0.1936856255
77	0.1936854066
78	0.1936851877
79	0.1936849323
80	0.1936847256
81	0.193684458
82	0.1936842513
83	0.1936840324
84	0.1936838135
85	0.1936835703
86	0.1936833392
87	0.1936830717
88	0.1936829015
89	0.1936826704
90	0.1936824393
91	0.1936822448
92	0.1936820016
93	0.1936817705
94	0.1936815516
95	0.1936813206
96	0.1936810895
97	0.1936808463
98	0.1936806274
99	0.1936804085
100	0.1936801531
101	0.1936799707
102	0.1936797153
103	0.1936794964
104	0.1936792532
105	0.1936790708
106	0.1936788154
107	0.1936785722
108	0.1936783655
109	0.1936781223
110	0.1936779155
111	0.193677648
112	0.1936774534
113	0.1936772102
114	0.1936770278
115	0.1936767481
116	0.1936765413
117	0.1936762981
118	0.1936761279
119	0.1936758847
120	0.1936756658
121	0.1936754104
122	0.1936751915
123	0.1936749483
124	0.1936747172
125	0.1936745591
126	0.1936742551
127	0.1936740727
128	0.1936738416
129	0.1936736349
130	0.1936733795
131	0.1936731606
132	0.1936729174
133	0.1936727229
134	0.1936724918
135	0.1936722851
136	0.1936720054
137	0.193671823
138	0.1936715676
139	0.1936713365
140	0.1936711176
141	0.1936709109
142	0.1936706555
143	0.1936704731
144	0.1936702299
145	0.193670011
146	0.1936697435
147	0.193669561
148	0.1936693057
149	0.1936690989
150	0.1936688192
151	0.193668649
152	0.1936683936
153	0.1936682112
154	0.1936679558
155	0.1936677491
156	0.1936675059
157	0.1936672748
158	0.1936670559
159	0.1936668005
160	0.1936666181
161	0.1936663627
162	0.1936661682
163	0.1936659006
164	0.1936656817
165	0.1936654628
166	0.1936652561
167	0.1936650007
168	0.1936648183
169	0.1936645629
170	0.193664344
171	0.1936641252
172	0.1936638819
173	0.193663663
174	0.1936634441
175	0.1936631888
176	0.1936630064
177	0.1936627388
178	0.1936625321
179	0.193662301
180	0.19366207
181	0.1936618389
182	0.1936616443
183	0.1936614011
184	0.1936611944
185	0.1936609633
186	0.1936607323
187	0.1936605255
188	0.1936602945
189	0.1936600513
190	0.1936598202
191	0.1936596013
192	0.1936593703
193	0.1936591392
194	0.1936589203
195	0.1936587136
196	0.1936584582
197	0.1936582272
198	0.1936579961
199	0.1936578137
200	0.1936575583
201	0.1936573394
202	0.1936570962
203	0.1936569138
204	0.1936566219
205	0.1936564638
206	0.1936561963
207	0.1936560017
208	0.193655795
209	0.1936555396
210	0.193655345
211	0.1936550775
212	0.1936548586
213	0.1936546397
214	0.1936544087
215	0.1936541898
216	0.1936539344
217	0.1936537641
218	0.1936534966
219	0.1936532899
220	0.1936530345
221	0.1936528399
222	0.1936525967
223	0.1936523778
224	0.1936521467
225	0.19365194
226	0.193651709
227	0.1936514779
228	0.1936512104
229	0.1936510158
230	0.1936507726
231	0.193650578
232	0.1936503348
233	0.1936501159
234	0.1936499335
235	0.1936496538
236	0.1936494835
237	0.1936492038
238	0.1936490336
239	0.1936487417
240	0.1936485471
241	0.1936482796
242	0.1936480972
243	0.1936478297
244	0.1936476472
245	0.1936473797
246	0.1936471851
247	0.1936469541
248	0.1936467352
249	0.1936465041
250	0.1936462731
251	0.1936460785
252	0.1936458231
253	0.1936456042
254	0.1936453488
255	0.1936451543
256	0.1936449232
257	0.1936447165
258	0.1936444489
259	0.1936442422
260	0.1936440233
261	0.1936437679
262	0.1936435734
263	0.1936433423
264	0.1936431234
265	0.1936428802
266	0.1936426491
267	0.1936424059
268	0.1936422114
269	0.1936419438
270	0.1936417614
271	0.1936415182
272	0.1936413115
273	0.1936410561
274	0.1936408493
275	0.1936406183
276	0.1936403994
277	0.1936401927
278	0.1936399373
279	0.1936397184
280	0.1936394873
281	0.1936392684
282	0.1936390131
283	0.1936388428
284	0.1936385996
285	0.1936383807
286	0.1936381132
287	0.1936379186
288	0.1936376754
289	0.1936374686
290	0.1936372254
291	0.1936370187
292	0.193636739
293	0.1936365687
294	0.1936363134
295	0.1936360945
296	0.1936358391
297	0.1936356567
298	0.1936354256
299	0.1936351946
300	0.1936349513
301	0.1936347446
302	0.1936344892
303	0.1936342825
304	0.1936340514
305	0.1936338325
306	0.1936335893
307	0.1936333826
308	0.1936331637
309	0.1936329083
310	0.1936327016
311	0.1936324949
312	0.1936322516
313	0.1936320449
314	0.1936318017
315	0.1936316071
316	0.1936313517
317	0.1936311085
318	0.1936308896
319	0.1936306464
320	0.1936304397
321	0.1936301843
322	0.1936300019
323	0.1936297708
324	0.1936295398
325	0.1936293087
326	0.193629102
327	0.1936288588
328	0.1936286399
329	0.1936283845
330	0.1936281899
331	0.1936279346
332	0.1936277278
333	0.1936274846
334	0.1936273022
335	0.1936269982
336	0.1936268279
337	0.1936265725
338	0.1936263658
339	0.1936261348
340	0.1936259037
341	0.1936256726
342	0.1936254781
343	0.193625247
344	0.1936250038
345	0.1936248214
346	0.1936245538
347	0.1936243349
348	0.1936240796
349	0.193623885
350	0.1936236661
351	0.193623435
352	0.1936231918
353	0.1936229973
354	0.193622754
355	0.193622523
356	0.1936222919
357	0.193622073
358	0.1936218298
359	0.1936216109
360	0.193621392
361	0.1936211367
362	0.1936209664
363	0.1936207232
364	0.1936205165
365	0.1936202611
366	0.1936200422
367	0.193619799
368	0.1936195801
369	0.193619349
370	0.1936191544
371	0.1936188991
372	0.1936186802
373	0.1936184613
374	0.1936182059
375	0.1936179992
376	0.1936177438
377	0.1936175735
378	0.193617306
379	0.1936170993
380	0.1936168682
381	0.1936166858
382	0.1936163818
383	0.1936161872
384	0.1936159561
385	0.1936157372
386	0.1936155062
387	0.1936152873
388	0.1936150684
389	0.1936148252
390	0.1936146185
391	0.1936143631
392	0.1936141442
393	0.1936139253
394	0.1936137064
395	0.1936134632
396	0.1936132564
397	0.1936130375
398	0.19361277
399	0.1936125633
400	0.1936123565
401	0.1936120768
402	0.1936118823
403	0.1936116512
404	0.1936114566
