Tarih,Dağıtılan Enerji (MWh)
2022-08-01 00:00:00,2338.1572
2022-08-01 01:00:00,2166.1304
2022-08-01 02:00:00,1994.3607
2022-08-01 03:00:00,1892.068
2022-08-01 04:00:00,1844.3546
2022-08-01 05:00:00,1802.8307
2022-08-01 06:00:00,1775.8685
2022-08-01 07:00:00,1935.3441
2022-08-01 08:00:00,2236.8872
2022-08-01 09:00:00,2475.8135
2022-08-01 10:00:00,2636.2683
2022-08-01 11:00:00,2834.1753
2022-08-01 12:00:00,2917.7107
2022-08-01 13:00:00,3046.1104
2022-08-01 14:00:00,3137.6125
2022-08-01 15:00:00,3135.3562
2022-08-01 16:00:00,3142.796
2022-08-01 17:00:00,3051.8623
2022-08-01 18:00:00,2928.834
2022-08-01 19:00:00,2859.4517
2022-08-01 20:00:00,2830.6853
2022-08-01 21:00:00,2818.8298
2022-08-01 22:00:00,2741.2375
2022-08-01 23:00:00,2628.9758
2022-08-02 00:00:00,2423.49
2022-08-02 01:00:00,2269.7112
2022-08-02 02:00:00,2128.1184
2022-08-02 03:00:00,2012.5111
2022-08-02 04:00:00,1954.6392
2022-08-02 05:00:00,1923.1606
2022-08-02 06:00:00,1872.5547
2022-08-02 07:00:00,2001.846
2022-08-02 08:00:00,2379.9749
2022-08-02 09:00:00,2613.3384
2022-08-02 10:00:00,2753.2363
2022-08-02 11:00:00,2892.5862
2022-08-02 12:00:00,2944.5781
2022-08-02 13:00:00,3054.9956
2022-08-02 14:00:00,3151.5884
2022-08-02 15:00:00,3159.3003
2022-08-02 16:00:00,3175.4546
2022-08-02 17:00:00,3131.6008
2022-08-02 18:00:00,2992.3225
2022-08-02 19:00:00,2914.0774
2022-08-02 20:00:00,2886.6208
2022-08-02 21:00:00,2854.0164
2022-08-02 22:00:00,2790.1255
2022-08-02 23:00:00,2679.0764
2022-08-03 00:00:00,2566.5842
2022-08-03 01:00:00,2378.0188
2022-08-03 02:00:00,2238.2195
2022-08-03 03:00:00,2122.3943
2022-08-03 04:00:00,2054.9143
2022-08-03 05:00:00,2014.2893
2022-08-03 06:00:00,1955.8252
2022-08-03 07:00:00,2088.694
2022-08-03 08:00:00,2479.0476
2022-08-03 09:00:00,2747.639
2022-08-03 10:00:00,2918.622
2022-08-03 11:00:00,3044.703
2022-08-03 12:00:00,3067.246
2022-08-03 13:00:00,3197.0508
2022-08-03 14:00:00,3291.0652
