Tarih,Dağıtılan Enerji (MWh)
2022-08-01 00:00:00,2363.906
2022-08-01 01:00:00,2215.625
2022-08-01 02:00:00,2024.5746
2022-08-01 03:00:00,1973.7296
2022-08-01 04:00:00,1908.387
2022-08-01 05:00:00,1725.385
2022-08-01 06:00:00,1666.333
2022-08-01 07:00:00,1840.236
2022-08-01 08:00:00,2303.0461
2022-08-01 09:00:00,2305.605
2022-08-01 10:00:00,2487.992
2022-08-01 11:00:00,2604.639
2022-08-01 12:00:00,2691.2944
2022-08-01 13:00:00,2792.946
2022-08-01 14:00:00,2964.6553
2022-08-01 15:00:00,2936.0571
2022-08-01 16:00:00,2970.8696
2022-08-01 17:00:00,2945.5627
2022-08-01 18:00:00,2815.0845
2022-08-01 19:00:00,2770.3206
2022-08-01 20:00:00,2793.8518
2022-08-01 21:00:00,2772.8167
2022-08-01 22:00:00,2703.2808
2022-08-01 23:00:00,2533.9832
2022-08-02 00:00:00,2537.9517
2022-08-02 01:00:00,2363.4248
2022-08-02 02:00:00,2159.018
2022-08-02 03:00:00,2072.741
2022-08-02 04:00:00,2005.0559
2022-08-02 05:00:00,1854.4697
2022-08-02 06:00:00,1780.8433
2022-08-02 07:00:00,1929.3156
2022-08-02 08:00:00,2389.2732
2022-08-02 09:00:00,2492.9558
2022-08-02 10:00:00,2702.9065
2022-08-02 11:00:00,2781.3877
2022-08-02 12:00:00,2818.5945
2022-08-02 13:00:00,2921.3972
2022-08-02 14:00:00,3055.1606
2022-08-02 15:00:00,3028.5564
2022-08-02 16:00:00,3041.1912
2022-08-02 17:00:00,3012.8445
2022-08-02 18:00:00,2871.146
2022-08-02 19:00:00,2816.9756
2022-08-02 20:00:00,2834.0085
2022-08-02 21:00:00,2835.909
2022-08-02 22:00:00,2743.7651
2022-08-02 23:00:00,2556.182
2022-08-03 00:00:00,2605.64
2022-08-03 01:00:00,2437.4026
2022-08-03 02:00:00,2255.026
2022-08-03 03:00:00,2155.9285
2022-08-03 04:00:00,2104.3682
2022-08-03 05:00:00,1934.9423
2022-08-03 06:00:00,1871.5647
2022-08-03 07:00:00,2014.8212
2022-08-03 08:00:00,2523.5527
2022-08-03 09:00:00,2627.0361
2022-08-03 10:00:00,2815.6963
2022-08-03 11:00:00,2869.062
2022-08-03 12:00:00,2868.2913
2022-08-03 13:00:00,2999.6216
2022-08-03 14:00:00,3114.7273
2022-08-03 15:00:00,3100.3762
2022-08-03 16:00:00,3116.4553
2022-08-03 17:00:00,3079.1807
2022-08-03 18:00:00,2936.1714
2022-08-03 19:00:00,2883.0989
2022-08-03 20:00:00,2875.8733
2022-08-03 21:00:00,2862.187
2022-08-03 22:00:00,2766.5637
2022-08-03 23:00:00,2634.6182
2022-08-04 00:00:00,2608.3887
2022-08-04 01:00:00,2443.951
2022-08-04 02:00:00,2293.933
2022-08-04 03:00:00,2198.3264
2022-08-04 04:00:00,2131.6824
2022-08-04 05:00:00,1968.013
2022-08-04 06:00:00,1896.593
2022-08-04 07:00:00,2018.9113
2022-08-04 08:00:00,2539.9294
2022-08-04 09:00:00,2636.297
2022-08-04 10:00:00,2848.2705
2022-08-04 11:00:00,2889.5195
